ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
XPEV,20200828,22.79,23.98,24.4,22.02,21.22,7.4,44555422,1023451722,22.97
XPEV,20200831,20.5,22.69,22.79,20.33,22.79,-10.05,20556024,435101055.4,21.17
XPEV,20200901,21.61,20.98,21.79,20.1,20.5,5.41,15241196,319178124.1,20.94
XPEV,20200902,21.09,21.99,22,20.38,21.61,-2.41,9045129,190248866.6,21.03
XPEV,20200903,20.03,20.93,21.05,20,21.09,-5.03,7714906,157218173.4,20.38
XPEV,20200904,19.03,19.98,20.18,18.01,20.03,-4.99,10921520,206895112.4,18.94
XPEV,20200908,17.73,17.91,18.56,17.37,19.03,-6.83,8687317,155150321.4,17.86
XPEV,20200909,18.07,18.57,18.65,17.91,17.73,1.92,5869250,106363681.3,18.12
XPEV,20200910,19.28,18.31,19.51,18.31,18.07,6.7,15406192,295162718.5,19.16
XPEV,20200911,19.1,19.49,19.55,18.36,19.28,-0.93,4244969,79609299.63,18.75
XPEV,20200914,20.48,19.14,20.56,18.38,19.1,7.23,6243254,121853964.8,19.52
XPEV,20200915,21.12,20.59,21.14,20.26,20.48,3.13,4308926,89388256.21,20.74
XPEV,20200916,19.92,20.66,20.78,19.62,21.12,-5.68,4047161,81320852.5,20.09
XPEV,20200917,19.24,19.01,19.67,19.01,19.92,-3.41,2870851,55213374.87,19.23
XPEV,20200918,18.9,19.44,19.48,18.86,19.24,-1.77,2769893,52850960.01,19.08
XPEV,20200921,18.15,18.27,18.38,17.43,18.9,-3.97,5171293,92600280.41,17.91
XPEV,20200922,19.31,18.5,19.58,18.17,18.15,6.39,4013398,76249360.64,19
XPEV,20200923,18.41,19.42,19.42,18.1,19.31,-4.66,3258972,60715313.19,18.63
XPEV,20200924,17.45,18,18.17,17.11,18.41,-5.21,3973879,70066663.6,17.63
XPEV,20200925,17.93,17.81,18,17.12,17.45,2.75,5314977,93443716.15,17.58
XPEV,20200928,19.06,19.02,19.45,18.5,17.93,6.3,5465317,103329485.7,18.91
XPEV,20200929,18.78,19.06,19.2,18.53,19.06,-1.47,5783590,109478113,18.93
XPEV,20200930,20.07,19.94,20.09,19.16,18.78,6.87,10332508,203905907.9,19.73
XPEV,20201001,18.67,20.15,20.23,18.51,20.07,-6.98,9938871,187728436.7,18.89
XPEV,20201002,18.19,18,18.56,17.98,18.67,-2.57,4490895,82199568.18,18.3
XPEV,20201005,20.04,19.58,20.39,19.22,18.19,10.17,14455215,287044417.4,19.86
XPEV,20201006,19.7,20.44,20.91,19.2,20.04,-1.7,6996367,139329192.6,19.91
XPEV,20201007,20.16,19.98,20.59,19.85,19.7,2.34,4900383,99269993.76,20.26
