,纯电动汽车补贴政策w,混合动力补贴w,双积分平均车分,企业平均油耗要求,新能源汽车比例要求,排放物限制,电动车占比,居民收入,消费支出,人均交通和通信消费支出,充电桩,最低续航里程,电池能源密度,原油依存度,汽车总销量,动力电池价格,疫情,充电桩增长率,传统汽车报废,发电量,人均发电量,发电量增量
0,10,10,10,5,5,10,5,5,5,5,5,5,5,5.244003018,5,9.177631579,5,10,5,5,5,10
1,9.791666667,9.714285714,9.705882353,5,5,10,5.033991175,5.284524388,5.162425603,5.275544766,5.040682709,5,5.121119707,5,6.093432732,9.177631579,5,9.695151109,5.001821127,5.277805058,5.260894188,5.584766331
2,9.583333333,9.571428571,9.411764706,5,5,10,5.18094488,5.554073809,5.312356928,5.523762778,5.145195185,5,5.296070394,5.08146971,6.89700934,10,5,9.695151106,5.003810878,5.33183273,5.326867431,5
3,9.375,9.285714286,9.117647059,5,5,10,5.247296801,5.82362323,5.487276808,5.809555076,5.413684131,5.149253731,5.548776942,5.288725976,9.382940767,9.638157895,5,9.695151106,5.008734667,5.586908283,5.59675797,5.483967967
4,8.4375,8.428571429,8.823529412,5,5,9.333333333,5.373540744,6.153072521,5.637208134,5.992872049,5.682173078,5.149253731,5.913797511,5.410958581,10,7.105263158,5,6.774020002,5.013523557,5.942462678,6.006091954,5.686227854
5,8.541666667,8.142857143,8.529411765,5,5,8.333333333,5.628741964,6.482521813,5.837116568,6.193268242,6.115885992,5.52238806,6.441049445,5.497599422,9.421375529,6.677631579,5,6.779390636,5.015176062,6.463527554,6.283719355,5.993376161
6,7.291666667,6.428571429,8.235294118,6.5625,6,8.333333333,5.658420923,6.856896008,6.049519279,6.406189197,6.496491202,6.268656716,6.836488395,5.55461337,7.744749666,5.756578947,5,5.928358249,5.031262687,6.763160152,6.572451852,5.461781098
7,6.979166667,6.285714286,7.941176471,6.875,7,7.666666667,5.761629793,7.079873279,6.280066946,6.633994717,7.33441275,6.641791045,6.836488395,5.584110171,7.412615304,5.460526316,10,6.590042577,5.047012067,7.030773011,6.872733649,5.374311921
8,6.5625,5.971428571,7.647058824,7.1875,7.3,7.666666667,6.544223028,7.313665311,6.530309639,6.877725334,7.776976947,8.302238806,8.545610494,6.235217388,7.066702442,4.710526316,6,5.483789094,5.068075725,7.374583829,7.185026718,5.493113061
9,6.25,5.828571429,7.352941176,7.5,7.6,7.666666667,6.992965481,7.558796636,6.801929848,7.138494319,8.166628987,8.768656716,8.545610497,6.827674837,7.246794686,4.631578947,5.5,5.335990327,5.103085389,7.707353135,7.497414752,5.560992277
10,5.364583333,5.347982774,7.058823529,7.8125,7.9,7.333333333,7.279349721,7.81581723,7.096753795,7.417492765,8.509696294,9.235074627,9.039909185,7.366765526,7.428687852,4.552631579,5.25,5.239784401,5.161038064,8.029038552,7.80989941,5.599776326
11,5.104166667,5.171428571,6.764705882,8.125,8.2,7,7.565733961,8.085303743,7.416763707,7.715995022,8.811748298,9.701492537,9.534207873,7.857296572,7.612399946,4.473684211,5.25,5.17263433,5.256969079,8.340009263,8.122480723,5.6219363
12,5,5.085714286,6.470588235,8.4375,8.5,6.666666667,7.852118201,8.367860789,7.764111148,8.035364545,9.077688567,10.16791045,10.02850656,8.303642077,7.797949165,4.394736842,5,5.123450853,5.415766916,8.640622154,8.435158719,5.634597815
13,5,5,6.176470588,8.75,8.8,6.333333333,8.281694561,8.664122313,8.141131487,8.377060083,9.311834432,10.63432836,10.52280525,8.709782141,7.985353875,4.315789474,5,5.086141221,5.678630321,8.931222222,8.747933428,5.641832206
14,5,5,5.882352941,9.0625,9.1,6,8.71127092,8.974753001,8.550359593,8.742642368,9.517987058,11.10074627,11.01710394,9.079338348,8.174632636,4.236842105,5,5.057079189,6.113756964,9.212142971,9.060804881,5.645965706
15,5,5,5.588235294,9.375,9.4,5.666666667,9.14084728,9.300449786,8.994546885,9.13378126,9.699493168,11.56716418,11.51140262,9.415606059,8.365804179,4.157894737,5,5.03397105,6.834036743,9.483706814,9.373773107,5.648327447
16,5,5,5.294117647,9.6875,9.7,5.333333333,9.57042364,9.641943395,9.476679825,9.552263314,9.859299374,12.03358209,12.00570131,9.721583801,8.558887444,4.078947368,5,5.015294677,8.026340107,9.746225395,9.686838137,5.649676889
17,5,5,5,10,10,5,10,10,10,10,10,12.5,12.5,10,8.753901534,4,5,5,10,10,10,5.650447909
